VENUE,CONFERENCE,YEAR,TITLE,DOI,TYPE ,CONF/JOUR,Keyword,abstract,usefull,AUTHORS,SCOPE,domain,disciplina,disciplina di visualizzazione,ATTACK THE FILTERING PROBLEM?,NAME,Multi windows system,fs1,fs2,fm,fc,fs2,tot_filtri,filter 1 to 1 or 1 to n,dm1,dm2,dm3,dm4,tot_manip,Spatial_distibution,summary of the filter actions. it is always visualized,"level of relations among filters (AND, OR, NOT)",presence of feedback ( like the currrent selection is connected to the filter.) ,presence of guidance,feedback level on filters,presence_feed,presence_guid,Representation ,filter1,filter2,feed1,feed2,act1,act2,guidance level on filters,guidance level on principal overview (visualization overview),guid1,guid2,Presence,rep1,rep2,layout,figures used,NOTES
,,2020,Sneak Pique: Exploring Autocompletion as a Data Discovery Scaffold for Supporting Visual Analysis,https://doi.org/10.1145/3379337.3415813,system paper,CONF,,,,"Vidya Setlur, Enamul Hoque, Dae Hyun Kim, Angel X. Chang",in scope,agnostic,visualization,,no,,unique window,,,,4,1,5,,,,,,0,unified,list,default,yes,no,medium,yes,yes,simple,histogram,,data distribution,,drag,,none,yes,,,no,,,15%,Fig. 1,
,,2020,Hermes: Guidance-enriched Visual Analytics for economic network exploration,https://doi.org/10.1016/j.visinf.2020.09.006,system paper,,,,,"Roger A. Leite, Alessio Arleo, Johannes Sorger, Theresia Gschwandtner, Silvia Miksch",in scope,agnostic,graph/network analysis,,no,,multi windows,3,2,,4,,9,,2,1,,,3,distributed,absent,absent,yes,yes,low,yes,yes,simple,label,,quality of selection,,click,,medium,yes,slider,label,yes,orientiring,directing,20%,"Fig. 2, 3",
,EuroVis,2012,"Vismon: Facilitating Analysis of Trade-Offs, Uncertainty, andSensitivity In Fisheries Management Decision Making",https://doi.org/10.1111/j.1467-8659.2012.03116.x,system paper,CONF,,,,"Maryam Booshehrian, Torsten Möller, Randall M. Peterman, Tamara Munzner",in scope,,,,no,,unique window,7,,6,,,13,,3,,,,3,distributed compact,absent,absent,yes,no,medium,yes,yes,simple,histogram,,data distribution,,click,,none,no,,,no,,,15%,"Fig. 2, 3",
,,2019,ChronoCorrelator: Enriching Events with Time Series,https://doi.org/10.1111/cgf.13697,system paper,JOUR,,,,"M.A.M.M. van Dortmont, S. van den Elzen and J.J. van Wijk",in scope,agnostic,time-series,,no,,unique window,4,1,,4,2,11,,2,1,,,3,distributed,absent,absent,yes,no,medium,yes,yes,simple,slider,,data distribution,,drag,,none,no,,,no,,,15%,Fig. 2,
,,2022,TBSSvis: Visual analytics for Temporal Blind Source Separation,https://doi.org/10.1016/j.visinf.2022.10.002,system paper,,,,,"Nikolaus Piccolotto, Markus Bögl, Theresia Gschwandtner, Christoph Muehlmann, Klaus Nordhausen, Peter Filzmoser, Silvia Miksch",in scope,agnostic,time-series,,no,,multi windows,3,,,1,,4,,5,1,,,6,distributed,absent,absent,yes,no,simple,yes,yes,simple,slider,,data distribution,,drag,,none,no,,,no,,,10%,"Fig. 4,5",
,,2023,Volume conductor: interactive visibility management for crowded volumes,https://doi.org/10.1007/s00371-023-02828-8,system paper,,,,,"Žiga Lesar, Ruwayda Alharbi, Ciril Bohak, Ondrej Strnad, Christoph Heinzl, Matija Marolt, Ivan Viola",in scope,,,,no,,unique window,31,5,,15,,51,,,1,,,1,unified,list,default,yes,no,medium,yes,yes,simple,slider,,data distribution,,drag,,none,no,,,no,,,25%,Fig. 3,Volume conductor: interactive visibility management for crowded volumes | The Visual Computer (springer.com)
TVCG,,2023,PSEUDo: Interactive Pattern Search in Multivariate Time Series with Locality-Sensitive Hashing and Relevance Feedback,https://doi.org/10.1109/TVCG.2022.3209431,system paper,JOUR,,,,"Yuncong Yu, Dylan Kruyff, Jiao Jiao, Tim Becker, and Michael Behrisch",in scope,agnostic,pattern analysis,,no,,unique window,5,2,,,,7,,1,,,,1,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 5,[Research] PSEUDo - Pattern Search in Multivariate TS with Locality-Sensitive Hashing and Rel Feedb. - YouTube
TVCG,,2023,ManuKnowVis: How to Support Different User Groups in Contextualizing and Leveraging Knowledge Repositories,https://doi.org/10.1109/TVCG.2023.3279857,system paper,JOUR,,,,"Joscha Eirich, Dominik Jäckle, Michael Sedlmair, Christoph Wehner, Ute Schmid, Jürgen Bernard, Tobias Schreck",in scope,,,,no,,multi windows,3,3,,,,6,,3,4,,,7,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,5%,"Fig. 4, 5",
TVCG,,2023,b/Surf: Interactive Bézier Splines on Surface Meshes,https://doi.org/10.1109/TVCG.2022.3171179,system paper,JOUR,,,,"Claudio Mancinelli, Giacomo Nazzaro, Fabio Pellacini, and Enrico Puppo",in scope,agnostic,,,no,,unique window,,,,,,0,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,0%,fig. 2,b/Surf: Interactive Bézier Splines on Surfaces - YouTube
TVCG,,2023,VisImages: A Fine-Grained Expert-Annotated Visualization Dataset,https://doi.org/10.1109/TVCG.2022.3155440,system paper,JOUR,,,,"Dazhen Deng, Yihong Wu, Xinhuan Shu, Jiang Wu, Siwei Fu, Weiwei Cui, and Yingcai Wu",in scope,agnostic,,,no,,unique window,7,,,,2,9,,4,,,,4,distributed,absent,absent,no,no,none,yes,no,,,,,,,,none,no,,,no,,,15%,Fig. 8,VisImages
